idno,name,year,date_from,date_to,cadre,training_name
01AM018400,Shri Jatinder Bir Singh,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM018600,Shri Arun Kumar,2012,01/10/2012,02/11/2012,Assam Meghalaya,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AM019100,Shri Ajay Kumar Bhalla,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM019000,Shri Davinder Kumar,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM015900,Shri Vinay Sheel Oberoi,2007,01/01/2007,25/01/2007,Assam Meghalaya,MIC Career Programme for IAS Officers - Phase V
01AM019700,Shri Rajiv Kumar Bora,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM019600,Shri Parmarsan S Thangkhiew,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM019900,Shri Sailesh,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM020000,Shri Saraswati Prasad,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM020200,Shri Sumeet Jerath,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM020400,Shri Hector Marwein,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM020500,Shri Kumar Sanjay Krishna,2013,16/09/2013,18/10/2013,Assam Meghalaya,7th Round MCT Phase 5
01AM023400,Shri Pramod Kumar Tiwari,2007,21/04/2007,25/05/2007,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AM023500,Shri Vijayendra,2007,21/04/2007,25/05/2007,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AM023700,Shri Biswaranjan Samal,2009,01/06/2009,24/07/2009,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AM023800,Dr. Ashish Kumar Bhutani,2009,01/06/2009,24/07/2009,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AM024100,Dr. Ravi Kota,2010,04/10/2010,26/11/2010,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AM024200,Shri Ajay Tewari,2011,22/08/2011,14/10/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM024300,Shri Kailash Chand Samria,2010,04/10/2010,26/11/2010,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AM024400,Shri Donald Philips Wahlang,2010,04/10/2010,26/11/2010,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AM024500,Shri Sanjay Lohiya,2011,18/04/2011,10/06/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM024600,Shri Niraj Verma,2011,18/04/2011,10/06/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM024700,Shri A. P. Das Joshi,2011,18/04/2011,10/06/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM024800,Shri Samir Kumar Sinha,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM024900,Shri Rajeev Chandra Joshi,2011,18/04/2011,10/06/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM025100,Ms. Archana Varma,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025000,Ms. L.. S. Changsan,2011,18/04/2011,10/06/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM025200,Dr. M Ariz Ahammed,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025300,Shri Prateek Hajela,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025400,Shri Rajesh Prasad,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025500,Shri P Shakil Ahammed,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025600,Shri B Kalyan Chakravarthy,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025700,Dr. John Berchmans Ekka,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025711,Shri J Lyngdoh,2008,21/04/2008,11/06/2008,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AM025713,Ms. M H K Marak,2010,04/10/2010,26/11/2010,Assam Meghalaya,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AM025800,Shri Anurag Goel,2011,22/08/2011,14/10/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026000,Shri Krishna Kumar Dwivedi,2011,22/08/2011,14/10/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026100,Shri Mukesh C Sahu,2011,22/08/2011,14/10/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026111,Shri B Dhar,2011,22/08/2011,14/10/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026311,Shri E P Kharbhih,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026312,Shri Tanington Dkhar,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026313,Shri Mahtabuddin Ahmad,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026316,Shri Freeman Kharlyngdoh,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026317,Ms. Lawanda Diengdoh,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026318,Shri Swapnanil Barua,2012,30/04/2012,22/06/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase IV
01AM026500,Shri G. Dev Tripathi,2007,16/06/2007,08/08/2007,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AM026500,Shri G. Dev Tripathi,2013,01/07/2013,23/08/2013,Assam Meghalaya,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AM026600,Shri Manish Thakur,2007,16/06/2007,08/08/2007,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AM026600,Shri Manish Thakur,2013,01/07/2013,23/08/2013,Assam Meghalaya,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AM026800,Shri Ashutosh Agnihotri,2009,29/06/2009,21/08/2009,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01AM026800,Shri Ashutosh Agnihotri,2014,23/06/2014,14/08/2014,Assam Meghalaya,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01AM026900,Shri Diwakar Nath Misra,2008,16/06/2008,08/08/2008,Assam Meghalaya,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01AM027100,Shri Frederick Roy Kharkongor,2008,16/06/2008,08/08/2008,Assam Meghalaya,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01AM027300,Shri Jujjavarapu Balaji,2009,29/06/2009,21/08/2009,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01AM027400,Dr. M Angamuthu,2010,07/06/2010,30/07/2010,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01AM027500,Shri Mebanshailang R Synrem,2010,07/06/2010,30/07/2010,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01AM027700,Dr. Jayant Narlikar,2011,20/06/2011,12/08/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM027800,Dr. Patibandla Ashok Babu,2011,20/06/2011,12/08/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM027900,Shri D Vijay Kumar,2012,02/07/2012,24/08/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028100,Shri S. P. Gotmare,2012,02/07/2012,24/08/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028200,Shri S S Meenakshi Sundaram,2013,29/04/2013,21/06/2013,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028300,Shri Khade Nitin Kumar Shivdas,2013,29/04/2013,21/06/2013,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028400,Ms. Aruna Rajoria,2012,02/07/2012,24/08/2012,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028500,Shri Solanki Vishal Vasant,2013,29/04/2013,21/06/2013,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM028800,Shri Siddharth Singh,2013,29/04/2013,21/06/2013,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM029000,Shri Rakesh Kumar,2013,29/04/2013,21/06/2013,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM808202,Shri Rwitticka Das Kalita,2011,20/06/2011,12/08/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM808204,Shri Preetom Kumar Saikia,2011,20/06/2011,12/08/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM808205,Shri Dilip Borthakur,2011,20/06/2011,12/08/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase III
01AM808206,Shri Anupam Kumar Roy,2010,07/06/2010,30/07/2010,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01AM908101,Shri K.W. Marbaniang,2010,07/06/2010,30/07/2010,Assam Meghalaya,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01AP027300,Shri I Y R Krishna Rao,2007,01/01/2007,25/01/2007,Andhra Pradesh,MIC Career Programme for IAS Officers - Phase V
01AP027400,Dr. I V Subba Rao,2007,01/01/2007,25/01/2007,Andhra Pradesh,MIC Career Programme for IAS Officers - Phase V
01AP028100,Shri Satyanarayan Mohanty,2008,06/01/2008,01/02/2008,Andhra Pradesh,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01AP028200,Ms. D Lakshmi P Bhaskar,2010,12/12/2010,14/01/2011,Andhra Pradesh,Mid Career Programme for IAS Officers- Phase V
01AP028300,Shri Aswini Kumar Parida,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP029200,Shri Sathya Prakash Tucker,2009,05/01/2009,30/01/2009,Andhra Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AP029300,Shri Chirravuri Viswanath,2009,05/01/2009,30/01/2009,Andhra Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AP029500,Dr. C B Venkataramana,2009,05/01/2009,30/01/2009,Andhra Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AP029600,Shri Ramesh Kumar Nimmagadda,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP030000,Shri Rajiv Sharma,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP030100,Shri Lingaraj Panigrahi,2009,05/01/2009,30/01/2009,Andhra Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AP030200,Shri K Pradeep Chandra,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP030400,Shri T Vijayakumar,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP030500,Shri L V Subramanyam,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP030600,Shri Ajeya Kallam,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP030700,Shri Shekhar Prasad Singh,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP030800,Shri Mukkamala G Gopal,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP030900,Dr. Dinesh Kumar,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP031000,Shri Binoy Kumar,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP031100,Shri Vinod Kumar Agrawal,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP031300,Shri Bhanwar Lal,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP031500,Shri T Radha,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP031701,Ms. Ranjeev R Acharya,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP031702,Dr.(Ms.) Preeti Sudan,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP032100,Ms. Nilam Sawhney,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP032200,Shri A R Sukumar,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP032400,Shri Shailendra Kumar Joshi,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP032500,Dr. Ajay Mishra,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP032600,Shri A Vidya Sagar,2011,09/10/2011,11/11/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase V
01AP032701,Shri Ajay Prakash Sawhney,2012,01/10/2012,02/11/2012,Andhra Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AP033100,Shri Sutirtha Bhattacharya,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP033200,Shri Suresh Chanda,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP033300,Dr. Manmohan Singh,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP033500,Shri Jagdish Chander Sharma,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP033600,Dr. P Venkata Ramesh Babu,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP033700,Shri Heera Lal Samariya,2013,16/09/2013,18/10/2013,Andhra Pradesh,7th Round MCT Phase 5
01AP035217,Shri B Janardhanreddy,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP035218,Ms. K Sunitha,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP035220,Shri L Shasidhar,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP036700,Shri G Sai Prasad,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP036800,Dr. Rajat Kumar,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP036900,Shri Ajay Jain,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP037000,Shri Harpreet Singh,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP037001,Shri G Asok Kumar,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP037100,Ms. Sumita Dawra,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP037200,Shri Ram Prakash Sisodia,2007,21/04/2007,25/05/2007,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01AP037201,Shri Aravind Kumar,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP037212,Shri K Madhusudana Rao,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP037300,Shri Jayesh Ranjan,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP037500,Shri K Vijayanand,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP037600,Shri Vikas Raj,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP037700,Shri Sanjay Jaju,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP037800,Shri Budithi Rajsekhar,2013,01/07/2013,23/08/2013,Andhra Pradesh,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AP037900,Shri Shamsheer Singh Rawat,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP037914,Shri V N Vishnu,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP038000,Shri M. T. Krishna Babu,2010,04/10/2010,26/11/2010,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AP038100,Shri Gopal Krishna Dwivedi,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038200,Ms. K Damayanthi,2010,04/10/2010,26/11/2010,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AP038212,Shri Busani Venkateswara Rao,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038213,Shri N Siva Sankar,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038214,Shri M Jagadeeswar,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038215,Dr. B Kishore,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038217,Shri C Parthasarathi,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038218,Shri Y V Anuradha,2010,04/10/2010,26/11/2010,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AP038219,Smt. B Udayalaxmi,2010,04/10/2010,26/11/2010,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AP038223,Shri D Kadmiel,2009,01/06/2009,24/07/2009,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01AP038220,Shri Anil Kumar Singhal,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038224,Shri R V Chandravadan,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038300,Shri Praveen Prakash,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038313,Ms. G D Aruna,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038400,Shri Sabyasachi Ghose,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038700,Shri B Venkatesham,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038800,Shri Sanjay Kumar,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038900,Shri Benhur Mahesh Dutt Ekka,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038901,Ms. G Jayalakshmi,2010,04/10/2010,26/11/2010,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01AP038912,Shri I Srinivas Srinaresh,2008,21/04/2008,11/06/2008,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AP038911,Ms. V Usha Rani,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038913,Shri V Anil Kumar,2008,21/04/2008,11/06/2008,Andhra Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01AP038914,Shri K Ramgopal,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038915,Ms. A Vani Prasad,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP038918,Shri B Ramanjaneyulu,2011,18/04/2011,10/06/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039000,Shri Lav Aggarwal,2013,01/07/2013,23/08/2013,Andhra Pradesh,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AP039100,Shri Muddada Ravi Chandra,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039200,Shri Shashi Bhushan Kumar,2013,01/07/2013,23/08/2013,Andhra Pradesh,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AP039300,Shri Navin Mittal,2011,22/08/2011,14/10/2011,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039301,Shri M Dana Kishore,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039400,Shri Peeyush Kumar,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039515,Shri Rama Shankar Naik,2013,01/07/2013,23/08/2013,Andhra Pradesh,8th Round of Phase-IV Mid Career Programme for IAS Officers
01AP039518,Shri M Veerabramaiah,2014,23/06/2014,14/08/2014,Andhra Pradesh,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01AP039700,Shri Ahmed Nadeem,2012,30/04/2012,22/06/2012,Andhra Pradesh,Mid Career Programme for IAS Officers - Phase IV
01AP039900,Shri Srikant Nagulapalli,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040000,Shri Sandeep Kumar Sultania,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040100,Shri Mukesh Kumar Meena,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040111,Shri Syed Omar Jaleel,2008,16/06/2008,08/08/2008,Andhra Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01AP040115,Shri B Sreedhar,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040117,Ms. Anita Rajendra,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040200,Shri V Sheshadari,2008,16/06/2008,08/08/2008,Andhra Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01AP040300,Shri Syed Ali Murtaza Rizvi,2008,16/06/2008,08/08/2008,Andhra Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01AP040400,Shri Kanti Lal Dande,2007,16/06/2007,08/08/2007,Andhra Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01AP040500,Shri Gulzar N,2008,16/06/2008,08/08/2008,Andhra Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
